_id,ltable_id,rtable_id,label,ltable_nama,ltable_url,ltable_harga,rtable_nama,rtable_url,rtable_harga
0,674,14,1,Lensa 7Artisans 35mm F1.2 Sony E-Mount,https://galaxycamera.id/en/7artisans-35mm-f1-2-sony-e-mount.html,"Rp1.590.000,00",7Artisans For Sony E-mount 35mm f/1.2,https://www.tokocamzone.com/7Artisans-For-Sony-E-mount-35mm-f-1-2?search=kamera&limit=100,"Rp. 1,470,000"
1,594,46,0,Cleaning Kit Kokaii 6 in 1,https://galaxycamera.id/en/cleaning-kit-kokaii-6-in-1.html,"Rp75.000,00",ATT Cleaning Kit CL-6 (6 in 1),https://www.tokocamzone.com/ATT-Cleaning-Kit-CL-6-6-in-1?search=kamera&limit=100,"Rp. 90,000"
2,154,100,1,Boya BY-BM2021 Super-Cardioid Shotgun Microphone,https://galaxycamera.id/en/boya-microphone-by-bm2021.html,"Rp570.000,00",Boya BY-BM2021 Wired On-Camera Super-Cardioid Shotgun Microphone for DSLRs and Smartphone,https://www.tokocamzone.com/Boya-BY-BM2021-Wired-On-Camera-Super-Cardioid-Shotgun-Microphone-for-DSLRs-and-Smartphone-Jual-Harga-Murah-Sale-Hemat-Asli-Original-Terpercaya-Spec-Spesifikasi-Specification-Indonesia-Jakarta-Jabodetabek-Bandung-Review-Foto-Deskripsi?search=kamera&limit=100,"Rp. 570,000"
3,290,103,0,Brica B-PRO5 Alpha Edition 4K Mark II S Black,https://galaxycamera.id/en/brica-b-pro5-alpha-edition-4k-mark-ii-s-black.html,"Rp899.000,00",Brica B-Pro 5 Alpha Edition 4K Mark III S (AE3S) - Grey,https://www.tokocamzone.com/Brica-B-Pro-5-Alpha-Edition-4K-Mark-III-S-AE3S--Grey-Jual-Harga-Murah-Sale-Hemat-Asli-Original-Terpercaya-Spec-Spesifikasi-Specification-Indonesia-Jakarta-Jabodetabek-Bandung-Review-Foto-Deskripsi?search=kamera&page=2&limit=100,"Rp. 999,000"
4,346,103,0,Brica B-PRO5 Alpha Edition 4K Mark II S Silver,https://galaxycamera.id/en/brica-b-pro5-alpha-edition-4k-mark-ii-s-silver.html,"Rp899.000,00",Brica B-Pro 5 Alpha Edition 4K Mark III S (AE3S) - Grey,https://www.tokocamzone.com/Brica-B-Pro-5-Alpha-Edition-4K-Mark-III-S-AE3S--Grey-Jual-Harga-Murah-Sale-Hemat-Asli-Original-Terpercaya-Spec-Spesifikasi-Specification-Indonesia-Jakarta-Jabodetabek-Bandung-Review-Foto-Deskripsi?search=kamera&page=2&limit=100,"Rp. 999,000"
5,290,104,0,Brica B-PRO5 Alpha Edition 4K Mark II S Black,https://galaxycamera.id/en/brica-b-pro5-alpha-edition-4k-mark-ii-s-black.html,"Rp899.000,00",Brica B-Pro 5 Alpha Edition II 4K,https://www.tokocamzone.com/Brica-B-Pro-5-Alpha-Edition-II-4K-Jual-Harga-Murah-Sale-Hemat-Asli-Original-Terpercaya-Spec-Spesifikasi-Specification-Indonesia-Jakarta-Jabodetabek-Bandung-Review-Foto-Deskripsi?search=kamera&page=2&limit=100,"Rp. 699,000"
6,346,104,0,Brica B-PRO5 Alpha Edition 4K Mark II S Silver,https://galaxycamera.id/en/brica-b-pro5-alpha-edition-4k-mark-ii-s-silver.html,"Rp899.000,00",Brica B-Pro 5 Alpha Edition II 4K,https://www.tokocamzone.com/Brica-B-Pro-5-Alpha-Edition-II-4K-Jual-Harga-Murah-Sale-Hemat-Asli-Original-Terpercaya-Spec-Spesifikasi-Specification-Indonesia-Jakarta-Jabodetabek-Bandung-Review-Foto-Deskripsi?search=kamera&page=2&limit=100,"Rp. 699,000"
7,290,105,1,Brica B-PRO5 Alpha Edition 4K Mark II S Black,https://galaxycamera.id/en/brica-b-pro5-alpha-edition-4k-mark-ii-s-black.html,"Rp899.000,00",Brica B-Pro 5 Alpha Edition II S 4K,https://www.tokocamzone.com/Brica-B-Pro-5-Alpha-Edition-II-S-4K?search=kamera&page=2&limit=100,"Rp. 899,000"
8,346,105,1,Brica B-PRO5 Alpha Edition 4K Mark II S Silver,https://galaxycamera.id/en/brica-b-pro5-alpha-edition-4k-mark-ii-s-silver.html,"Rp899.000,00",Brica B-Pro 5 Alpha Edition II S 4K,https://www.tokocamzone.com/Brica-B-Pro-5-Alpha-Edition-II-S-4K?search=kamera&page=2&limit=100,"Rp. 899,000"
9,967,144,0,Canon EOS 5D Mark III 24-105mm,https://galaxycamera.id/en/canon-eos-5d-mark-iii-24-105mm.html,"Rp49.445.000,00",Canon Battery Grip BG-E11 for EOS 5D Mark III,https://www.tokocamzone.com/Canon-Battery-Grip-BG-E11-for-EOS-5D-Mark-III?search=kamera&page=2&limit=100,"Rp. 4,632,000"
