id,nama,url,harga
1,Saramonic Blink 500 B5 Dual-Channel Wireless Microphone,https://galaxycamera.id/en/saramonic-blink-500-b5-dual-channel-wireless-microphone.html,"Rp2.190.000,00"
2,Manfrotto Compact Action Red,https://galaxycamera.id/en/manfrotto-compact-action-red.html,"Rp1.060.000,00"
3,Manfrotto Compact Action Black,https://galaxycamera.id/en/manfrotto-compact-action-black.html,"Rp1.060.000,00"
4,Zomei T50 + Holder U Tripod,https://galaxycamera.id/en/zomei-t50-holder-u-tripod.html,"Rp260.000,00"
5,Flash Godox Thinklite TT685 For Olympus/Panasonic,https://galaxycamera.id/en/flash-godox-thinklite-tt685-for-olympus-panasonic.html,"Rp1.650.000,00"
6,Flash Godox Thinklite TT685 For Fujifilm,https://galaxycamera.id/en/flash-godox-thinklite-tt685-for-fujifilm.html,"Rp1.650.000,00"
7,Flash Godox Thinklite TT685 For Nikon,https://galaxycamera.id/en/flash-godox-thinklite-tt685-for-nikon.html,"Rp1.650.000,00"
8,Flash Godox Thinklite TT685 For Sony,https://galaxycamera.id/en/flash-godox-thinklite-tt685-for-sony.html,"Rp1.650.000,00"
9,Flash Godox Thinklite TT685 For Canon,https://galaxycamera.id/en/flash-godox-thinklite-tt685-for-canon.html,"Rp1.650.000,00"
10,Feiyu AK2000C 3-Axis Handheld Gimbal Stabilizer,https://galaxycamera.id/en/feiyu-ak2000c.html,"Rp3.499.000,00"
11,DJI Pocket 2 Creator Combo,https://galaxycamera.id/en/dji-pocket-2-creator-combo.html,"Rp8.299.000,00"
12,Memory SDXC Lexar Professional 64Gb 1667x UHS-II,https://galaxycamera.id/en/memory-sdxc-lexar-professional-64gb-1667x-uhs-ii.html,"Rp520.000,00"
13,Memory SDXC Lexar Professional 128Gb 1667x UHS-II,https://galaxycamera.id/en/memory-sdxc-lexar-professional-128gb-1667x-uhs-ii.html,"Rp880.000,00"
14,Desview T2 Broadcast Teleprompter,https://galaxycamera.id/en/desview-t2-broadcast-teleprompter.html,"Rp1.590.000,00"
15,Desview R7 Plus 7-inch On Camera Touch Monitor,https://galaxycamera.id/en/desview-r7-plus-7-inch-on-camera-touch-monitor.html,"Rp3.990.000,00"
16,Desview R5 5.5-inch On Camera Touch Monitor,https://galaxycamera.id/en/desview-r5-5-5-inch-on-camera-touch-monitor.html,"Rp2.990.000,00"
17,Feiyu AK2000S 3-Axis Handheld Stabilizer Advanced Kit,https://galaxycamera.id/en/feiyu-ak2000s-advanced-kit.html,"Rp4.950.000,00"
18,Fujifilm X-PRO3 Dura Body Silver,https://galaxycamera.id/en/fujifilm-x-pro3-dura-body-silver.html,"Rp30.999.000,00"
19,Fujifilm X-PRO3 Dura Body Black,https://galaxycamera.id/en/fujifilm-x-pro3-dura-body-black.html,"Rp30.999.000,00"
20,Fujifilm X-E3 Body Silver,https://galaxycamera.id/en/fujifilm-x-e3-body-silver.html,"Rp13.349.000,00"
21,Fujifilm X-E3 Body Black,https://galaxycamera.id/en/fujifilm-x-e3-body-black.html,"Rp13.349.000,00"
22,Fujifilm X-E3 XF 23mm F2 R WR Black,https://galaxycamera.id/en/fujifilm-x-e3-xf-23mm-f2-r-wr-black.html,"Rp16.999.000,00"
