_id,ltable_id,rtable_id,label,ltable_nama,ltable_url,ltable_harga,rtable_nama,rtable_url,rtable_harga
69,157,203,0,Canon EOS 850D Kit EF-S 18-55mm F/4-5.6 IS STM,https://galaxycamera.id/en/canon-eos-850d-kit-ef-s-18-55mm.html,"Rp15.730.000,00",Canon EOS 200D II Kit 18-55mm f/4-5.6 IS STM,https://www.tokocamzone.com/Canon-EOS-200D-II-Kit-18-55mm-f-4-5-6-IS-STM-Jual-Harga-Murah-Sale-Hemat-Asli-Original-Terpercaya-Spec-Spesifikasi-Specification-Indonesia-Jakarta-Jabodetabek-Bandung-Review-Foto-Deskripsi?search=kamera&page=3&limit=100,"Rp. 10,999,000"
200,129,217,0,Canon EOS M6 Mark II Kit 18-150mm F/3.5-6.3 IS STM Black,https://galaxycamera.id/en/canon-eos-m6-mark-ii-kit-18-150mm-black.html,"Rp18.770.000,00",Canon EOS 77D Kit EF-S 18-55mm f/4-5.6 IS STM (Promo Cashback Rp 800.000 Periode s/d 30 November 2020),https://www.tokocamzone.com/Canon-EOS-77D-Kit-18-55mm?search=kamera&page=3&limit=100,"Rp. 14,690,000"
38,494,188,0,Canon EOS 200D Mark II Kit 18-55mm White,https://galaxycamera.id/en/canon-eos-200d-mark-ii-kit-18-55mm-white.html,"Rp10.999.000,00",Canon Cinema EOS C300 Mark II Camcorder Body with Touch Focus Kit (EF Mount),https://www.tokocamzone.com/index.php?route=product/product&product_id=13340&search=kamera&page=2&limit=100,"Rp. 175,185,000"
572,743,1541,0,Lensa Tamron 18-200mm F3.5-6.3 Di II VC For Nikon,https://galaxycamera.id/en/lensa-tamron-18-200mm-f3-5-6-3-di-ii-vc-for-nikon.html,"Rp2.480.000,00",Tamron for Nikon F SP 15-30mm f/2.8 Di VC USD G2,https://www.tokocamzone.com/Jual-Harga-Murah-Sale-Hemat-Tamron-for-Nikon-F-SP-15-30mm-f-2-8-Di-VC-USD-G2-Asli-Original-Terpercaya-Spec-Spesifikasi-Specification-Indonesia-Jakarta-Jabodetabek-Bandung-Review-Foto-Deskripsi?search=kamera&page=16&limit=100,"Rp. 19,800,000"
196,56,217,0,Canon ET-63 Lens Hood For Lensa EF-S 55-250MM F4-5.6 IS STM,https://galaxycamera.id/en/canon-et-63-lens-hood-for-lensa-ef-s-55-250mm-f4-5-6-is-stm.html,"Rp290.000,00",Canon EOS 77D Kit EF-S 18-55mm f/4-5.6 IS STM (Promo Cashback Rp 800.000 Periode s/d 30 November 2020),https://www.tokocamzone.com/Canon-EOS-77D-Kit-18-55mm?search=kamera&page=3&limit=100,"Rp. 14,690,000"
337,159,251,0,Canon EOS R6 Kit RF 24-105mm F4 L IS USM,https://galaxycamera.id/en/canon-eos-r6-rf-24-105mm-f4-l-is-usm.html,"Rp59.990.000,00",Canon EOS R Kit RF 24-105mm F/4-7.1 IS STM Lens (Promo Cashback Rp 8.000.000 + Free LP-E6N (By Claim) s/d 30 November 2020),https://www.tokocamzone.com/Canon-EOS-R-Kit-RF-24-105mm-F-4-7-IS-STM-Lens-Jual-Harga-Murah-Sale-Hemat-Asli-Original-Terpercaya-Spec-Spesifikasi-Specification-Indonesia-Jakarta-Jabodetabek-Bandung-Review-Foto-Deskripsi?search=kamera&page=3&limit=100,"Rp. 43,235,000"
403,845,391,0,DJI Mini 2 Fly More Combo,https://galaxycamera.id/en/dji-mini-2-fly-more-combo.html,"Rp9.299.000,00",DJI Mavic 2 Pro / Zoom Fly More Combo Kit,https://www.tokocamzone.com/Jual-DJI-Mavic-2-Fly-More-Kit-Harga-Spesifikasi-Specifications?search=kamera&page=4&limit=100,"Rp. 4,150,000"
26,542,157,0,Canon EOS 6D Mark II Body,https://galaxycamera.id/en/canon-eos-6d-mark-ii-body.html,"Rp26.390.000,00",Canon Battery LP-E6N for EOS 7D Mark II / 7D / 5D Mark II / 5D Mark III / 60D / 60Da / 70D / 6D,https://www.tokocamzone.com/Canon-Battery-LP-E6N-for-EOS-7D-Mark-II-7D-5D-Mark-II-5D-Mark-III-60D-60Da-70D-6D?search=kamera&page=2&limit=100,"Rp. 1,345,000"
583,432,1608,0,Canon EOS 6D Mark II Kit EF 24-105mm F/4 L IS II USM,https://galaxycamera.id/en/canon-eos-6d-mark-ii-fe-24-105mm-f4.html,"Rp40.750.000,00",Used..!! Canon EOS 7D Mark II Kit 18-135mm Nano USM with Adapter W-E1 (Kode : 058),https://www.tokocamzone.com/Jual-Used-Canon-Eos-7D-Mark-II-Kit-18-135mm-Nano-USM-with-Adapter-W-E1-Harga-Spesifikasi-Specifictions?search=kamera&page=17&limit=100,"Rp. 24,000,000"
49,358,201,0,Canon EOS 90D Kit EF-S 18-55mm IS STM,https://galaxycamera.id/en/canon-eos-90d-kit-18-55mm.html,"Rp19.550.000,00",Canon EF-S 18-55mm f/4-5.6 IS STM,https://www.tokocamzone.com/Jual-Harga-Murah-Sale-Hemat-Canon-EF-S-18-55mm-f-4-5-6-IS-STM-Asli-Original-Terpercaya-Spec-Spesifikasi-Specification-Indonesia-Jakarta-Jabodetabek-Bandung-Review-Foto-Deskripsi?search=kamera&page=3&limit=100,"Rp. 3,800,000"
